Número de artículo del comerciante	EAN / GTIN / Código de barras / UPC	Número original del artículo del fabricante (HAN/MPN)	Nombre del fabricante/marca	Nombre del producto	Precio (bruto)	Precio especial	Precio original	Plazo de entrega	Categoría del producto en la tienda	Descripción del producto	Características del producto / Otros atributos	URL del producto	URL de la imagen	Reembolso	Transferencia	Paypal
1	1	SMFU002		Phone case Azure Stone Rojo	16.849976	16.849976	16.849976	de 48 a 72 horas	Fundas	<div>Carcasas TPU con trasera en Cristal Templado de 9H</div><br><br><br>9H es la dureza máxima para protectores  de pantalla. Espesor de 0,8 mm . Evita roturas por su dureza y  consistencia. Anti huella. Aislamiento para la entrada de aire, por  su perfecto acople. Resistente al agua (Salpicaduras). No pierde  señal de wifi ni operador telefónico con la carcasa puesta.  Disponible en cuatro colores , azul, rojo, negro y verde. Con un  packagin de primera para un producto de primera. Sorprende con esta  carcasa que hará que tu teléfono resalte su belleza.	Modelo:iPhone6-Iphone6Plus-iPhone7-iPhone7Plus	http://sonidomobile.com/producto/1/phone-case-azure-stone-rojo	http://sonidomobile.com/imagenesproductos/5a37bbce37e33_phone-case-azure-stone-rojo.jpg	0.00	0.00	0.00
2	2	SMFU001		Phone case Azure Stone Azul	16.849976	16.849976	16.849976		Fundas	Materiales:  Cristal y marco de goma. 9 H de dureza, la máxima para protectores  de pantalla. Espesor de 0,8 mm . Evita roturas por su dureza y  consistencia. Anti huella. Aislamiento para la entrada de aire, por  su perfecto acople. Resistente al agua (Salpicaduras).  No pierde señal de wifi ni operador telefónico con la carcasa puesta.  Disponible en cuatro colores , azul, rojo, negro y verde. Con un  packagin de primera para un producto de primera. Sorprende con esta  carcasa que hará que tu teléfono resalte su belleza.	Modelo:iPhone6-Iphone6Plus-iPhone7-iPhone7Plus	http://sonidomobile.com/producto/2/phone-case-azure-stone-azul	http://sonidomobile.com/imagenesproductos/5a37bcddcd5ea_phone-case-azure-stone-azul.jpg	0.00	0.00	0.00
3	3	SMFU003		Phone case Azure Stone Verde	16.849976	16.849976	16.849976		Fundas	Materiales:  Cristal y marco de goma. 9 H de dureza, la máxima para protectores  de pantalla. Espesor de 0,8 mm . Evita roturas por su dureza y  consistencia. Anti huella. Aislamiento para la entrada de aire, por  su perfecto acople. Resistente al agua (Salpicaduras).  No pierdeseñal de wifi ni operador telefónico con la carcasa puesta.  Disponible en cuatro colores , azul, rojo, negro y verde. Con un  packagin de primera para un producto de primera. Sorprende con esta  carcasa que hará que tu teléfono resalte su belleza.	Modelo:iPhone6-Iphone6Plus-iPhone7-iPhone7Plus	http://sonidomobile.com/producto/3/phone-case-azure-stone-verde	http://sonidomobile.com/imagenesproductos/5a37bda730bdd_phone-case-azure-stone-verde.jpg	0.00	0.00	0.00
4	4	SMAU004		MDR-XB450 azul	15.850032	15.850032	15.850032		Auriculares	Sonido estéreo de gran calidad, aporta unos graves excelentes, totalmente  ajustable en altura, abatibles y acolchados para un perfecto  acoplamiento. Disponible en tres colores brillantes: rojo intenso,  azul y blanco. Se entrega en un estuche muy atractivo, ideal para  regalo. Disfrutarás de la música en estado puro, ligero para llevar  en cualquier momento del día.		http://sonidomobile.com/producto/4/mdr-xb450-azul	http://sonidomobile.com/imagenesproductos/5a37bfcd79c1d_mdr-xb450-azul.jpg	0.00	0.00	0.00
5	5	SMAU003		MDR-XB450 rojo	15.850032	15.850032	15.850032		Auriculares	Sonido estéreo de gran calidad, aporta unos graves excelentes, totalmente  ajustable en altura, abatibles y acolchados para un perfecto  acoplamiento. Disponible en tres colores brillantes: rojo intenso,  azul y blanco. Se entrega en un estuche muy atractivo, ideal para  regalo. Disfrutarás de la música en estado puro, ligero para llevar  en cualquier momento del día.		http://sonidomobile.com/producto/5/mdr-xb450-rojo	http://sonidomobile.com/imagenesproductos/5a37c05979383_mdr-xb450-rojo.jpg	0.00	0.00	0.00
6	6	SMAU002		MDR-XB450 blanco	15.850032	15.850032	15.850032		Auriculares	Sonido estéreo de gran calidad, aporta unos graves excelentes, totalmente  ajustable en altura, abatibles y acolchados para un perfecto  acoplamiento. Disponible en tres colores brillantes: rojo intenso,  azul y blanco. Se entrega en un estuche muy atractivo, ideal para  regalo. Disfrutarás de la música en estado puro, ligero para llevar  en cualquier momento del día.		http://sonidomobile.com/producto/6/mdr-xb450-blanco	http://sonidomobile.com/imagenesproductos/5a37c0ad4b61c_mdr-xb450-blanco.jpg	0.00	0.00	0.00
7	7	SMAU006		EV90 Blanco 	17.949987	17.949987	17.949987		Auriculares	Apertura dinámica para que ocupe poco espacio al guardarse, regulable y  acolchado para usar por largo periodo de tiempo sin que moleste, de  40 mm. de diámetro. Sonido estéreo de gran calidad incluso a bajo  volumen. Disponible en dos colores blanco y negro. Estuche muy   original, es idóneo para regalo. Muy manejable y fácil de llevar  sólo 6 gramos sin el cable. Disfruta de la música todos los días.		http://sonidomobile.com/producto/7/ev90-blanco-	http://sonidomobile.com/imagenesproductos/5a438a7fb9f92_ev90-blanco-.jpg	0.00	0.00	0.00
15	15	SMAU005		EV90 Negro	17.949987	17.949987	17.949987		Auriculares	Apertura dinámica para que ocupe poco espacio al guardarse, regulable y acolchado para usar por largo periodo de tiempo sin que moleste, de 40 mm. de diámetro. Sonido estéreo de gran calidad incluso a bajo volumen. Disponible en dos colores blanco y negro. Estuche muy original, es idóneo para regalo. Muy manejable y fácil de llevar sólo 6 gramos sin el cable. Disfruta de la música todos los días.		http://sonidomobile.com/producto/15/ev90-negro	http://sonidomobile.com/imagenesproductos/5a438adbb159d_ev90-negro.jpg	0.00	0.00	0.00
14	14	SMPR002		Tempered Glass 3D Curvo Negro	4.749976	4.749976	4.749976		Protectores de pantallas	Protector Cristal Templado Completo 3D Curvo<br><br>Disponible para:<br><br>iPh6 y 6+<br>iPh7 y 7+<br>iPh8 y 8+<br>iPhone X<br><br>En variedad de tres tonos de colores, negro, blanco y oro. Alta Calidad, repele radiación de luz con máxima dureza del cristal 9H totalmente acoplable. Una Pantalla protectora integral, con buena relación calidad precio.<br><br>Totalmente transparente.<br>Dureza de la superficie.<br>Evita que la pantalla explote.<br>Toque delicado.<br>Dureza 9H resistente a golpes y arañazos.	Modelo:iPhone6-Iphone6Plus-iPhone7-iPhone7Plus-Iphone8-Iphone8Plus-iPhoneX	http://sonidomobile.com/producto/14/tempered-glass-3d-curvo-negro	http://sonidomobile.com/imagenesproductos/5a39308b41881_tempered-glass-3d-curvo-negro.jpg	0.00	0.00	0.00
8	8	SMAU001		Auricular Bluetooth BD 550	39.899992	39.899992	39.899992		Auriculares	Estamos ante un modelo novedoso, atractivo en su diseño, fácil de llevar  con un acople perfecto al oído haciendo que el sonido estéreo sea  limpio y envolvente. Lo hace distinto por su forma de llevar al  cuello con los auriculares imantados entre ellos y al soporte lo que  hace que sea muy práctico y fácil de manejar.  Control de mandos para subir/bajar volumen de música o llamadas, así como control  automático de entrada de llamada y pausa en música. Micro integrado  en el soporte principal para poder hablar y ser escuchado con total  nitidez. Sistema bluetooth 4.1 , sonido de alta definición, se puede  usar en teléfonos, tablets, portátil, pc, etc.Con un micro  cargador a USB para una gran autonomía de uso con un peso de tan  sólo 24 gr. hace que sea uno de los dispositivos más ligeros del  mercado.		http://sonidomobile.com/producto/8/auricular-bluetooth-bd-550	http://sonidomobile.com/imagenesproductos/5a37f7dfa3518_auricular-bluetooth-bd-550.jpg	0.00	0.00	0.00
