"ID","Imagen","Nombre","Referencia","EAN13","Categoría","Precio base","PVP","PVP +IVA","Cantidad"
5763,"http://ilusionstore.es/img/p/5763-3876.jpg","SET 3 PERCHAS MICKEY","MCK4615","'8412497304615'","MICKEY",1.050.000,2.100.000,2.541.000,15
6142,"http://ilusionstore.es/img/p/6142-4671.jpg","SET 3 PERCHAS MINNIE","MN5612","'8412497305612'","MINNIE",1.050.000,2.100.000,2.541.000,19
5687,"http://ilusionstore.es/img/p/5687-2837.jpg","BOTELLA SPORT MICKEY","MCK0343","'8412497520343'","MICKEY",1.100.000,2.200.000,2.662.000,23
5994,"http://ilusionstore.es/img/p/5994-3968.jpg","MINION VASO DE CAÑA","MIN8733","'5204549088733'","MINIONS",1.100.000,2.200.000,2.662.000,38
5995,"http://ilusionstore.es/img/p/5995-3969.jpg","CANTIMPLORA SPORT MINIONS","MIN8771","'5204549088771'","MINIONS",1.100.000,2.200.000,2.662.000,15
6138,"http://ilusionstore.es/img/p/6138-4672.jpg","BOTELLA SPORT MINNIE 400ML. DISNEY","MN5348","'8412497525348'","MINNIE",1.100.000,2.200.000,2.662.000,16
7347,"http://ilusionstore.es/img/p/7347-5112.jpg","TAZA PAW PATROL  ALPHA PUPS ACTION BLUE","PAW81170","'3800155381170'","PAW PATROL",1.100.000,2.200.000,2.662.000,48
6669,"http://ilusionstore.es/img/p/6669-4300.jpg","BOTELLA SPORT SPIDERMAN","SP3328","'8412497524341'","SPIDERMAN",1.100.000,2.200.000,2.662.000,31
9120,"http://ilusionstore.es/img/p/9120-7212.jpg","BLISTER 9 PIEZAS ACCESORIOS CABELLO LADYBUG","BUG82313","'8435333882313'","LADYBUG",1.150.000,2.300.000,2.783.000,44
9076,"http://ilusionstore.es/img/p/9076-7168.jpg","BOTELLA SPORT PRODIGIOSA LADYBUG 400ML.","BUG24441","'5949043724441'","LADYBUG",1.150.000,2.300.000,2.783.000,34
7229,"http://ilusionstore.es/img/p/7229-4945.jpg","BLISTER 9 PZ ACCESORIOS CABELLO SKYE PAW PATROL","SKY53535","'8435333853535'","PAW PATROL GIRL",1.150.000,2.300.000,2.783.000,9
5150,"http://ilusionstore.es/img/p/5150-2389.jpg","BOTELLA SPORT CARS","CR51203","'8422259151203'","CARS",1.160.000,2.320.000,2.807.200,16
5771,"http://ilusionstore.es/img/p/5771-2904.jpg","BOTELLA SPORT MICKEY","MCK5092","'8422259150923'","MICKEY",1.160.000,2.320.000,2.807.200,17
6127,"http://ilusionstore.es/img/p/6127-4681.jpg","BOTELLA SPORT MINNIE","MN5098","'8422259150985'","MINNIE",1.160.000,2.320.000,2.807.200,13
8678,"http://ilusionstore.es/img/p/8678-6525.jpg","VASO DE CAÑA 430ML. AVENGERS GALLERY MARVEL","AV77300","'8412497877300'","AVENGERS",1.200.000,2.400.000,2.904.000,3
5148,"http://ilusionstore.es/img/p/5148-2388.jpg","CARS BOTELLA SPORT","CR4520","'8446650044520'","CARS",1.200.000,2.400.000,2.904.000,35
8684,"http://ilusionstore.es/img/p/8684-6531.jpg","VASO DE CAÑA CARS RACERS EDGE 430ML. DISNEY","CR29307","'8412497229307'","CARS",1.200.000,2.400.000,2.904.000,18
5426,"http://ilusionstore.es/img/p/5426-3855.jpg","VASO CAÑA FROZEN DISNEY","FZ4360","'8446650044360'","FROZEN",1.200.000,2.400.000,2.904.000,15
